date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:01	337/337	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:00%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%203-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%203-zip	(from https://www.mineimator.com/download)
12:37:01	343/343	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:00%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%202-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%202-installer	(from https://www.mineimator.com/download)
12:37:01	337/337	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:00%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%202-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%202-zip	(from https://www.mineimator.com/download)
12:37:01	343/343	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:01%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%201-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%201-installer	(from https://www.mineimator.com/download)
12:37:02	337/337	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:01%20GMT	https://www.mineimator.com/dl/mineimator-2.0%20Pre-release%201-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-2.0%20Pre-release%201-zip	(from https://www.mineimator.com/download)
12:37:02	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:01%20GMT	https://www.mineimator.com/dl/mineimator-1.2.8-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.8-installer	(from https://www.mineimator.com/download)
12:37:02	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:01%20GMT	https://www.mineimator.com/dl/mineimator-1.2.8-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.8-zip	(from https://www.mineimator.com/download)
12:37:02	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:02%20GMT	https://www.mineimator.com/dl/mineimator-1.2.7-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.7-installer	(from https://www.mineimator.com/download)
12:37:03	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:02%20GMT	https://www.mineimator.com/dl/mineimator-1.2.7-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.7-zip	(from https://www.mineimator.com/download)
12:37:03	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:02%20GMT	https://www.mineimator.com/dl/mineimator-1.2.6-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.6-installer	(from https://www.mineimator.com/download)
